customerID,Contract,PaperlessBilling,PaymentMethod,tenure_group,MonthlyChargeBand,TotalChargeBand,contract_key
1038-ZAGBI,One year,No,Bank transfer (automatic),0-12 Months,Low,Q1,843
6549-NNDYT,Month-to-month,Yes,Bank transfer (automatic),13-24 Months,Low,Q1,844
3027-ZTDHO,Month-to-month,Yes,Electronic check,0-12 Months,High,Q1,845
0422-OHQHQ,One year,No,Mailed check,13-24 Months,Low,Q1,846
6916-HIJSE,Two year,Yes,Bank transfer (automatic),61-72 Months,High,Q4,847
2316-ESMLS,One year,No,Credit card (automatic),0-12 Months,Low,Q2,848
9778-OGKQZ,Two year,Yes,Credit card (automatic),61-72 Months,Premium,Q4,849
7408-OFWXJ,Two year,No,Credit card (automatic),61-72 Months,High,Q4,850
6007-TCTST,Two year,Yes,Bank transfer (automatic),61-72 Months,Premium,Q4,851
2252-NKNSI,Two year,Yes,Mailed check,49-60 Months,High,Q4,852
8713-IGZSO,Month-to-month,No,Mailed check,0-12 Months,Low,Q1,853
7905-TVXTA,Month-to-month,Yes,Electronic check,0-12 Months,Medium,Q1,854
7695-PKLCZ,Two year,No,Credit card (automatic),61-72 Months,Low,Q3,855
2382-BCKQJ,One year,Yes,Electronic check,61-72 Months,Premium,Q4,856
8374-UULRV,Two year,No,Credit card (automatic),61-72 Months,High,Q4,857
2207-NHRJK,Month-to-month,No,Electronic check,0-12 Months,Medium,Q1,858
3224-DFQNQ,One year,No,Electronic check,61-72 Months,High,Q4,859
5275-PMFUT,Two year,Yes,Credit card (automatic),61-72 Months,Medium,Q4,860
4795-UXVCJ,One year,No,Credit card (automatic),25-48 Months,Low,Q2,861
9777-IQHWP,Two year,No,Bank transfer (automatic),61-72 Months,Premium,Q4,862
0947-MUGVO,Month-to-month,Yes,Electronic check,13-24 Months,High,Q3,863
9944-HKVVB,Month-to-month,Yes,Electronic check,0-12 Months,Premium,Q1,864
4124-MMETB,Month-to-month,Yes,Credit card (automatic),13-24 Months,Premium,Q3,865
3671-SHRSP,Month-to-month,Yes,Mailed check,0-12 Months,High,Q1,866
0979-MOZQI,Two year,Yes,Bank transfer (automatic),61-72 Months,Medium,Q3,867
2732-ISEZX,Month-to-month,Yes,Mailed check,0-12 Months,Low,Q1,868
3313-QKNKB,One year,No,Electronic check,49-60 Months,High,Q4,869
0323-XWWTN,Two year,Yes,Mailed check,0-12 Months,Low,Q1,870
1937-OTUKY,Two year,Yes,Bank transfer (automatic),61-72 Months,Premium,Q4,871
1573-LGXBA,One year,Yes,Credit card (automatic),49-60 Months,Premium,Q4,872
1764-VUUMT,Two year,No,Credit card (automatic),61-72 Months,Low,Q2,873
5073-WXOYN,Month-to-month,Yes,Electronic check,49-60 Months,Medium,Q3,874
4713-ZBURT,Two year,No,Bank transfer (automatic),25-48 Months,Premium,Q4,875
3050-GBUSH,Month-to-month,Yes,Credit card (automatic),0-12 Months,Low,Q1,876
0207-MDKNV,Month-to-month,No,Electronic check,13-24 Months,Premium,Q3,877
7876-AEHIG,One year,No,Bank transfer (automatic),49-60 Months,Medium,Q3,878
7945-HLKEA,One year,No,Electronic check,49-60 Months,Medium,Q4,879
9342-VNIMQ,Month-to-month,Yes,Bank transfer (automatic),25-48 Months,Medium,Q3,880
9851-KIELU,Month-to-month,Yes,Electronic check,0-12 Months,Premium,Q2,881
3523-BRGUW,One year,No,Credit card (automatic),25-48 Months,Low,Q2,882
3908-BLSYF,Month-to-month,No,Electronic check,0-12 Months,High,Q2,883
3199-NPKCN,One year,Yes,Electronic check,61-72 Months,Premium,Q4,884
5170-PTRKA,One year,Yes,Credit card (automatic),49-60 Months,Medium,Q3,885
4661-NJEUX,Month-to-month,Yes,Mailed check,0-12 Months,Low,Q1,886
2123-AGEEN,Month-to-month,Yes,Electronic check,0-12 Months,High,Q2,887
1258-YMZNM,One year,Yes,Bank transfer (automatic),25-48 Months,Premium,Q3,888
0048-LUMLS,One year,No,Credit card (automatic),25-48 Months,Premium,Q3,889
7549-MYGPK,Month-to-month,Yes,Electronic check,61-72 Months,Premium,Q4,890
5898-IGSLP,Month-to-month,No,Electronic check,25-48 Months,High,Q3,891
3804-RVTGV,Month-to-month,Yes,Bank transfer (automatic),49-60 Months,Premium,Q4,892
6259-WJQLC,Month-to-month,Yes,Credit card (automatic),25-48 Months,High,Q3,893
9227-LUNBG,Month-to-month,No,Electronic check,0-12 Months,Low,Q1,894
7997-EASSD,One year,Yes,Credit card (automatic),61-72 Months,High,Q4,895
0730-KOAVE,Month-to-month,Yes,Credit card (automatic),25-48 Months,Premium,Q3,896
8975-SKGRX,Two year,Yes,Bank transfer (automatic),61-72 Months,Premium,Q4,897
0678-RLHVP,Two year,No,Electronic check,49-60 Months,Premium,Q4,898
4315-MURBD,Month-to-month,Yes,Bank transfer (automatic),0-12 Months,Premium,Q2,899
2267-FPIMA,Month-to-month,Yes,Credit card (automatic),49-60 Months,Premium,Q4,900
1051-GEJLJ,Month-to-month,No,Mailed check,0-12 Months,Low,Q1,901
9734-YWGEX,Month-to-month,No,Credit card (automatic),0-12 Months,Premium,Q2,902
2719-BDAQO,Month-to-month,No,Electronic check,13-24 Months,Premium,Q3,903
5285-MVEHD,One year,Yes,Credit card (automatic),49-60 Months,Premium,Q4,904
0379-DJQHR,Two year,No,Credit card (automatic),61-72 Months,High,Q4,905
0781-LKXBR,Month-to-month,Yes,Electronic check,0-12 Months,Premium,Q2,906
5543-QDCRY,Month-to-month,Yes,Electronic check,0-12 Months,Medium,Q1,907
0297-RBCSG,One year,Yes,Bank transfer (automatic),13-24 Months,Medium,Q2,908
4694-PHWFW,Month-to-month,No,Mailed check,0-12 Months,Low,Q1,909
0835-JKADZ,Two year,Yes,Electronic check,61-72 Months,Premium,Q4,910
1907-UBQFC,Month-to-month,Yes,Electronic check,0-12 Months,High,Q2,911
7508-SMHXL,Month-to-month,No,Credit card (automatic),13-24 Months,High,Q2,912
3865-YIOTT,One year,Yes,Bank transfer (automatic),61-72 Months,Premium,Q4,913
5993-BQHEA,One year,No,Credit card (automatic),0-12 Months,Low,Q1,914
6024-RUGGH,Two year,Yes,Bank transfer (automatic),61-72 Months,Low,Q3,915
6513-EECDB,Month-to-month,Yes,Electronic check,0-12 Months,High,Q1,916
3956-CJUST,Month-to-month,Yes,Bank transfer (automatic),13-24 Months,High,Q3,917
4079-WWQQQ,Two year,Yes,Bank transfer (automatic),61-72 Months,Medium,Q4,918
6103-BOCOU,Month-to-month,Yes,Electronic check,25-48 Months,High,Q3,919
5149-TGWDZ,One year,Yes,Mailed check,13-24 Months,Premium,Q3,920
7471-WNSUF,One year,No,Bank transfer (automatic),49-60 Months,Low,Q3,921
8942-DBMHZ,Month-to-month,No,Mailed check,0-12 Months,Low,Q1,922
4301-VVZKA,Month-to-month,Yes,Electronic check,13-24 Months,High,Q2,923
9199-PWQVC,One year,Yes,Credit card (automatic),61-72 Months,High,Q4,924
4824-GUCBY,Month-to-month,No,Electronic check,13-24 Months,High,Q3,925
5393-HJZSM,Month-to-month,No,Bank transfer (automatic),25-48 Months,High,Q3,926
7074-IEVOJ,Month-to-month,Yes,Electronic check,0-12 Months,High,Q1,927
9625-QSTYE,Month-to-month,Yes,Electronic check,13-24 Months,High,Q2,928
0862-PRCBS,Two year,Yes,Credit card (automatic),61-72 Months,Premium,Q4,929
8812-ZRHFP,One year,No,Electronic check,25-48 Months,High,Q3,930
5146-CBVOE,Month-to-month,No,Bank transfer (automatic),13-24 Months,High,Q2,931
0454-OKRCT,Two year,No,Bank transfer (automatic),25-48 Months,High,Q3,932
5787-KXGIY,Two year,No,Credit card (automatic),61-72 Months,Low,Q2,933
4750-ZRXIU,Month-to-month,Yes,Electronic check,0-12 Months,High,Q1,934
4198-VFOEA,One year,Yes,Mailed check,0-12 Months,Low,Q2,935
6630-UJZMY,Month-to-month,Yes,Electronic check,0-12 Months,High,Q1,936
5709-LVOEQ,Two year,No,Mailed check,0-12 Months,High,Q2,937
6400-BWQKW,Month-to-month,Yes,Electronic check,0-12 Months,High,Q2,938
2692-AQCPF,One year,Yes,Credit card (automatic),61-72 Months,Premium,Q4,939
0347-UBKUZ,Month-to-month,No,Mailed check,13-24 Months,Low,Q1,940
0835-DUUIQ,One year,No,Bank transfer (automatic),13-24 Months,Low,Q2,941
0811-GSDTP,Month-to-month,No,Electronic check,13-24 Months,Low,Q1,942
7567-ECMCM,Month-to-month,Yes,Credit card (automatic),13-24 Months,High,Q3,943
6115-ZTBFQ,Two year,No,Bank transfer (automatic),61-72 Months,Medium,Q4,944
6353-BRMMA,Month-to-month,Yes,Bank transfer (automatic),49-60 Months,Premium,Q4,945
6680-WKXRZ,Month-to-month,No,Bank transfer (automatic),0-12 Months,High,Q1,946
6231-WFGFH,Month-to-month,Yes,Mailed check,0-12 Months,Low,Q1,947
9904-EHEVJ,Month-to-month,Yes,Mailed check,25-48 Months,Premium,Q3,948
7028-DVOIQ,Month-to-month,Yes,Electronic check,25-48 Months,Premium,Q3,949
6169-PPETC,Two year,No,Bank transfer (automatic),25-48 Months,Low,Q2,950
4208-UFFGW,Month-to-month,No,Mailed check,0-12 Months,Medium,Q1,951
8584-KMVXD,Month-to-month,No,Electronic check,0-12 Months,High,Q2,952
8467-WYNSR,Month-to-month,No,Mailed check,13-24 Months,Medium,Q2,953
0851-DFJKB,Month-to-month,No,Electronic check,13-24 Months,Medium,Q2,954
5382-SOYZL,Month-to-month,Yes,Electronic check,13-24 Months,Premium,Q3,955
9448-REEVD,Month-to-month,No,Credit card (automatic),0-12 Months,Medium,Q1,956
3261-CQXOL,Two year,No,Bank transfer (automatic),61-72 Months,Low,Q3,957
8388-FYNPZ,Month-to-month,No,Electronic check,0-12 Months,Medium,Q1,958
4002-BQWPQ,Month-to-month,No,Bank transfer (automatic),25-48 Months,High,Q3,959
5651-YLPRD,Month-to-month,Yes,Electronic check,25-48 Months,High,Q3,960
2826-DXLQO,Month-to-month,No,Bank transfer (automatic),0-12 Months,Low,Q1,961
4378-BZYFP,One year,Yes,Mailed check,13-24 Months,Low,Q1,962
9489-UTFKA,Month-to-month,No,Bank transfer (automatic),0-12 Months,Medium,Q2,963
4849-PYRLQ,Two year,No,Bank transfer (automatic),49-60 Months,High,Q4,964
9117-SHLZX,Month-to-month,Yes,Mailed check,0-12 Months,Medium,Q1,965
9889-TMAHG,Month-to-month,No,Credit card (automatic),0-12 Months,Premium,Q2,966
4541-RMRLG,Month-to-month,No,Electronic check,0-12 Months,Low,Q1,967
7764-BDPEE,Month-to-month,No,Mailed check,0-12 Months,Low,Q1,968
3429-IFLEM,Two year,No,Credit card (automatic),61-72 Months,High,Q4,969
3158-MOERK,Month-to-month,Yes,Electronic check,0-12 Months,Premium,Q1,970
7294-TMAOP,Month-to-month,No,Electronic check,0-12 Months,Premium,Q1,971
5002-GCQFH,Month-to-month,Yes,Bank transfer (automatic),49-60 Months,Premium,Q4,972
0556-FJEGU,Two year,No,Bank transfer (automatic),49-60 Months,High,Q4,973
8919-FYFQZ,Month-to-month,Yes,Electronic check,25-48 Months,Low,Q2,974
0604-THJFP,Two year,Yes,Credit card (automatic),49-60 Months,High,Q4,975
2834-JRTUA,Two year,Yes,Electronic check,61-72 Months,Premium,Q4,976
5875-YPQFJ,Month-to-month,Yes,Electronic check,0-12 Months,Medium,Q1,977
5879-SESNB,Month-to-month,No,Electronic check,0-12 Months,High,Q2,978
6646-QVXLR,One year,Yes,Electronic check,61-72 Months,Premium,Q4,979
6461-PPAXN,One year,Yes,Bank transfer (automatic),25-48 Months,Medium,Q3,980
3318-ISQFQ,Month-to-month,Yes,Bank transfer (automatic),13-24 Months,Low,Q2,981
1106-HRLKZ,Two year,No,Mailed check,25-48 Months,Low,Q2,982
2483-XSSMZ,One year,Yes,Electronic check,25-48 Months,Medium,Q3,983
8603-IJWDN,Month-to-month,Yes,Electronic check,0-12 Months,High,Q1,984
8165-ZJRNM,Two year,No,Bank transfer (automatic),61-72 Months,Low,Q3,985
9369-XFEHK,Month-to-month,Yes,Bank transfer (automatic),25-48 Months,High,Q3,986
2604-XVDAM,Month-to-month,No,Bank transfer (automatic),0-12 Months,Medium,Q2,987
3717-OFRTN,Month-to-month,No,Bank transfer (automatic),0-12 Months,Low,Q1,988
9046-JBFWA,Month-to-month,No,Mailed check,25-48 Months,Low,Q2,989
3280-NMUVX,One year,No,Credit card (automatic),25-48 Months,Low,Q2,990
1206-EHBDD,Two year,No,Bank transfer (automatic),49-60 Months,High,Q4,991
8361-LBRDI,Two year,No,Credit card (automatic),49-60 Months,Low,Q3,992
4883-KCPZJ,Two year,No,Credit card (automatic),13-24 Months,Low,Q2,993
9108-EQPNQ,Two year,No,Credit card (automatic),0-12 Months,Low,Q1,994
7277-KAMWT,Two year,No,Credit card (automatic),13-24 Months,Low,Q1,995
3842-IYKUE,Month-to-month,No,Credit card (automatic),25-48 Months,High,Q3,996
6641-XRPSU,Month-to-month,Yes,Credit card (automatic),25-48 Months,Medium,Q3,997
1374-DMZUI,Month-to-month,Yes,Electronic check,0-12 Months,Premium,Q2,998
2545-LXYVJ,Two year,No,Bank transfer (automatic),61-72 Months,Low,Q3,999
3234-VKACU,Month-to-month,No,Electronic check,0-12 Months,High,Q1,1000
8357-EQXFO,Month-to-month,Yes,Electronic check,0-12 Months,Premium,Q2,1001
1989-PRJHP,Month-to-month,Yes,Electronic check,25-48 Months,High,Q3,1002
8120-JDCAM,Month-to-month,Yes,Mailed check,0-12 Months,Medium,Q1,1003
8917-FAEMR,Two year,No,Mailed check,25-48 Months,Low,Q2,1004
7047-YXDMZ,Month-to-month,No,Mailed check,13-24 Months,Low,Q2,1005
2858-EIMXH,One year,Yes,Credit card (automatic),49-60 Months,Premium,Q4,1006
9524-EGPJC,Month-to-month,Yes,Electronic check,13-24 Months,Premium,Q3,1007
6993-OHLXR,Month-to-month,No,Electronic check,0-12 Months,Medium,Q1,1008
8818-XYFCQ,Month-to-month,Yes,Credit card (automatic),25-48 Months,Premium,Q3,1009
6419-ZTTLE,One year,Yes,Electronic check,13-24 Months,Low,Q2,1010
0929-HYQEW,Month-to-month,Yes,Mailed check,0-12 Months,Medium,Q1,1011
6614-YOLAC,Two year,No,Mailed check,61-72 Months,Medium,Q4,1012
7426-RHZGU,Month-to-month,Yes,Bank transfer (automatic),0-12 Months,Premium,Q2,1013
4065-JJAVA,Month-to-month,No,Electronic check,0-12 Months,Medium,Q1,1014
4695-VADHF,Month-to-month,No,Electronic check,13-24 Months,Medium,Q2,1015
3863-IUBJR,One year,No,Credit card (automatic),0-12 Months,Medium,Q2,1016
7649-SIJJF,Two year,Yes,Mailed check,61-72 Months,High,Q4,1017
9361-YNQWJ,One year,Yes,Bank transfer (automatic),61-72 Months,Low,Q3,1018
3748-FVMZZ,Month-to-month,Yes,Electronic check,0-12 Months,Medium,Q1,1019
9391-TTOYH,Month-to-month,Yes,Mailed check,13-24 Months,Low,Q2,1020
1452-XRSJV,Month-to-month,No,Credit card (automatic),25-48 Months,Medium,Q3,1021
3422-WJOYD,One year,No,Mailed check,25-48 Months,Medium,Q3,1022
8242-SOQUO,Month-to-month,Yes,Electronic check,0-12 Months,High,Q1,1023
7460-ITWWP,Month-to-month,Yes,Electronic check,25-48 Months,High,Q4,1024
7147-AYBAA,Month-to-month,Yes,Mailed check,25-48 Months,High,Q3,1025
7868-TMWMZ,Two year,Yes,Bank transfer (automatic),49-60 Months,Premium,Q4,1026
4822-RVYBB,Month-to-month,Yes,Electronic check,0-12 Months,Premium,Q2,1027
6732-FZUGP,One year,No,Credit card (automatic),25-48 Months,Premium,Q4,1028
8436-BJUMM,Month-to-month,Yes,Electronic check,25-48 Months,High,Q3,1029
4184-TJFAN,Month-to-month,Yes,Mailed check,0-12 Months,High,Q1,1030
8329-GWVPJ,Month-to-month,Yes,Bank transfer (automatic),49-60 Months,Medium,Q3,1031
1352-VHKAJ,Month-to-month,No,Bank transfer (automatic),25-48 Months,High,Q3,1032
4145-UQXUQ,Month-to-month,Yes,Electronic check,0-12 Months,Premium,Q2,1033
2632-TACXW,Two year,No,Bank transfer (automatic),61-72 Months,Low,Q3,1034
8146-QQKZH,Two year,No,Bank transfer (automatic),61-72 Months,High,Q4,1035
1767-CJKBA,Two year,No,Mailed check,61-72 Months,Low,Q3,1036
6445-TNRXS,Two year,Yes,Bank transfer (automatic),61-72 Months,Premium,Q4,1037
4581-LNWUM,Month-to-month,No,Electronic check,13-24 Months,Medium,Q2,1038
4869-EPIUS,One year,Yes,Electronic check,49-60 Months,High,Q4,1039
9948-YPTDG,Month-to-month,Yes,Electronic check,25-48 Months,High,Q3,1040
1236-WFCDV,Month-to-month,No,Credit card (automatic),13-24 Months,Premium,Q2,1041
1915-OAKWD,One year,Yes,Bank transfer (automatic),13-24 Months,Low,Q1,1042
7296-PIXQY,Month-to-month,No,Electronic check,13-24 Months,High,Q2,1043
4883-QICIH,Month-to-month,Yes,Bank transfer (automatic),25-48 Months,Medium,Q3,1044
3354-OADJP,One year,No,Bank transfer (automatic),0-12 Months,Medium,Q2,1045
3524-WQDSG,Month-to-month,Yes,Bank transfer (automatic),25-48 Months,Premium,Q4,1046
0810-DHDBD,One year,No,Credit card (automatic),49-60 Months,High,Q4,1047
4026-SKKHW,Month-to-month,Yes,Mailed check,0-12 Months,Medium,Q1,1048
2829-HYVZP,One year,Yes,Mailed check,25-48 Months,Low,Q2,1049
8329-IBCTI,Month-to-month,No,Mailed check,0-12 Months,Low,Q1,1050
1271-SJBGZ,Month-to-month,Yes,Electronic check,0-12 Months,Medium,Q2,1051
3845-JHAMY,Month-to-month,Yes,Credit card (automatic),13-24 Months,Medium,Q2,1052
7013-PSXHK,One year,Yes,Mailed check,25-48 Months,High,Q3,1053
5669-SRAIP,Month-to-month,No,Electronic check,0-12 Months,Medium,Q1,1054
5981-ITEMU,Month-to-month,Yes,Bank transfer (automatic),25-48 Months,Premium,Q3,1055
3486-NPGST,One year,No,Mailed check,25-48 Months,Low,Q2,1056
6941-PMGEP,Month-to-month,Yes,Electronic check,0-12 Months,High,Q2,1057
1624-WOIWJ,Month-to-month,Yes,Mailed check,0-12 Months,High,Q2,1058
2074-GKOWZ,Month-to-month,Yes,Bank transfer (automatic),0-12 Months,High,Q1,1059
0376-YMCJC,Month-to-month,Yes,Electronic check,13-24 Months,Premium,Q3,1060
6100-FJZDG,One year,Yes,Bank transfer (automatic),25-48 Months,Low,Q2,1061
4829-ZLJTK,Two year,Yes,Electronic check,61-72 Months,Premium,Q4,1062
1730-VFMWO,Month-to-month,No,Bank transfer (automatic),25-48 Months,Medium,Q3,1063
7143-BQIBA,Month-to-month,No,Bank transfer (automatic),0-12 Months,Medium,Q2,1064
3800-LYTRK,One year,No,Mailed check,13-24 Months,Medium,Q2,1065
0634-SZPQA,Month-to-month,Yes,Bank transfer (automatic),13-24 Months,Premium,Q3,1066
9646-NMHXE,Two year,No,Mailed check,25-48 Months,Low,Q2,1067
7030-NJVDP,Month-to-month,Yes,Electronic check,13-24 Months,High,Q3,1068
5536-RTPWK,Month-to-month,Yes,Bank transfer (automatic),49-60 Months,Premium,Q4,1069
8883-GRDWQ,One year,No,Mailed check,13-24 Months,Medium,Q2,1070
6166-ILMNY,Month-to-month,No,Bank transfer (automatic),0-12 Months,Medium,Q1,1071
3097-NNSPB,Month-to-month,Yes,Credit card (automatic),0-12 Months,Medium,Q1,1072
7771-ZONAT,Two year,No,Bank transfer (automatic),13-24 Months,Medium,Q2,1073
0655-RBDUG,Month-to-month,Yes,Bank transfer (automatic),0-12 Months,Premium,Q2,1074
2111-DWYHN,Month-to-month,No,Mailed check,0-12 Months,Low,Q1,1075
4194-WHFCB,Month-to-month,Yes,Bank transfer (automatic),49-60 Months,Premium,Q4,1076
4121-AGSIN,One year,Yes,Credit card (automatic),49-60 Months,Low,Q3,1077
4361-BKAXE,Month-to-month,Yes,Bank transfer (automatic),25-48 Months,Premium,Q4,1078
9845-PEEKO,Two year,Yes,Credit card (automatic),49-60 Months,High,Q4,1079
0455-XFASS,Month-to-month,Yes,Electronic check,0-12 Months,Medium,Q1,1080
0301-KOBTQ,Two year,Yes,Bank transfer (automatic),25-48 Months,Low,Q2,1081
1751-NCDLI,Month-to-month,Yes,Electronic check,25-48 Months,Premium,Q4,1082
4367-NUYAO,Two year,No,Mailed check,0-12 Months,Low,Q2,1083
9878-TNQGW,Month-to-month,Yes,Electronic check,0-12 Months,High,Q1,1084
9170-ARBTB,One year,No,Credit card (automatic),49-60 Months,Low,Q2,1085
4441-NIHPT,Month-to-month,Yes,Electronic check,13-24 Months,High,Q2,1086
8999-BOHSE,Month-to-month,No,Bank transfer (automatic),0-12 Months,High,Q2,1087
7241-AJHFS,Month-to-month,No,Bank transfer (automatic),25-48 Months,High,Q3,1088
7029-RPUAV,Month-to-month,Yes,Credit card (automatic),13-24 Months,Premium,Q3,1089
4546-FOKWR,Month-to-month,Yes,Credit card (automatic),13-24 Months,High,Q2,1090
9036-CSKBW,One year,No,Bank transfer (automatic),49-60 Months,Premium,Q4,1091
5832-TRLPB,One year,Yes,Bank transfer (automatic),25-48 Months,High,Q3,1092
8590-YFFQO,Two year,No,Credit card (automatic),61-72 Months,Medium,Q4,1093
8659-IOOPU,Two year,No,Electronic check,61-72 Months,Premium,Q4,1094
1338-CECEE,One year,No,Bank transfer (automatic),25-48 Months,Medium,Q3,1095
7439-DKZTW,Month-to-month,Yes,Electronic check,0-12 Months,High,Q1,1096
4646-QZXTF,Month-to-month,No,Bank transfer (automatic),0-12 Months,High,Q2,1097
4607-CHPCA,One year,Yes,Electronic check,25-48 Months,Premium,Q3,1098
9742-XOKTS,One year,No,Electronic check,61-72 Months,High,Q4,1099
6921-OZMFH,Month-to-month,Yes,Mailed check,0-12 Months,Medium,Q1,1100
9578-FOMUK,Month-to-month,Yes,Electronic check,13-24 Months,Low,Q1,1101
4712-UYOOI,Month-to-month,No,Electronic check,13-24 Months,Low,Q2,1102
8824-RWFXJ,Month-to-month,Yes,Mailed check,0-12 Months,Medium,Q1,1103
7722-CVFXN,One year,Yes,Electronic check,49-60 Months,Premium,Q4,1104
8717-VCTXJ,One year,Yes,Mailed check,25-48 Months,Low,Q2,1105
7363-QTBIW,Month-to-month,Yes,Electronic check,0-12 Months,High,Q2,1106
4159-NAAIX,Two year,No,Bank transfer (automatic),61-72 Months,Premium,Q4,1107
0971-QIFJK,Two year,No,Bank transfer (automatic),61-72 Months,Low,Q3,1108
9397-TZSHA,Two year,No,Credit card (automatic),61-72 Months,Low,Q3,1109
3391-JSQEW,Month-to-month,Yes,Mailed check,25-48 Months,Medium,Q3,1110
0343-QLUZP,Two year,No,Bank transfer (automatic),49-60 Months,Medium,Q3,1111
9763-PDTKK,Month-to-month,Yes,Bank transfer (automatic),0-12 Months,Premium,Q1,1112
2176-LVPNX,Two year,No,Mailed check,61-72 Months,High,Q4,1113
7627-JKIAZ,Month-to-month,Yes,Credit card (automatic),25-48 Months,High,Q3,1114
3312-UUMZW,Month-to-month,Yes,Credit card (automatic),25-48 Months,Premium,Q3,1115
1271-UODNO,Two year,Yes,Credit card (automatic),25-48 Months,Medium,Q3,1116
8461-EFQYM,One year,Yes,Electronic check,25-48 Months,Low,Q2,1117
6900-RBKER,Two year,Yes,Credit card (automatic),49-60 Months,High,Q4,1118
6891-JPYFF,Month-to-month,Yes,Credit card (automatic),25-48 Months,Premium,Q4,1119
1459-QNFQT,Two year,No,Bank transfer (automatic),61-72 Months,Medium,Q4,1120
1047-NNCBF,Month-to-month,No,Credit card (automatic),13-24 Months,High,Q3,1121
3696-XRIEN,One year,Yes,Credit card (automatic),49-60 Months,High,Q4,1122
4081-DYXAV,One year,Yes,Credit card (automatic),13-24 Months,Medium,Q2,1123
0074-HDKDG,One year,Yes,Bank transfer (automatic),25-48 Months,Medium,Q3,1124
8791-GFXLZ,Month-to-month,Yes,Bank transfer (automatic),0-12 Months,Medium,Q2,1125
8111-SLLHI,Month-to-month,Yes,Electronic check,25-48 Months,Premium,Q4,1126
0927-LCSMG,Month-to-month,No,Mailed check,0-12 Months,High,Q2,1127
9330-DHBFL,One year,Yes,Mailed check,13-24 Months,Medium,Q3,1128
0098-BOWSO,Month-to-month,Yes,Electronic check,25-48 Months,Low,Q2,1129
3452-ABWRL,Month-to-month,Yes,Credit card (automatic),25-48 Months,High,Q4,1130
5859-HZYLF,Two year,Yes,Credit card (automatic),25-48 Months,Low,Q2,1131
8257-RZAHR,Month-to-month,Yes,Bank transfer (automatic),13-24 Months,Medium,Q2,1132
5293-WXJAK,Month-to-month,Yes,Bank transfer (automatic),0-12 Months,Premium,Q2,1133
3156-QLHBO,Month-to-month,No,Mailed check,0-12 Months,Low,Q1,1134
2208-NQBCT,Month-to-month,No,Electronic check,25-48 Months,High,Q3,1135
1779-PWPMG,Two year,Yes,Bank transfer (automatic),61-72 Months,Premium,Q4,1136
6621-NRZAK,Two year,No,Credit card (automatic),61-72 Months,Low,Q2,1137
0831-JNISG,Two year,No,Mailed check,61-72 Months,Low,Q2,1138
0774-IFUVM,Month-to-month,Yes,Bank transfer (automatic),0-12 Months,Medium,Q2,1139
3082-WQRVY,One year,No,Mailed check,13-24 Months,Low,Q1,1140
9553-DLCLU,Two year,No,Credit card (automatic),13-24 Months,High,Q2,1141
1641-BYBTK,Month-to-month,Yes,Mailed check,0-12 Months,Low,Q1,1142
2460-NGXBJ,Month-to-month,Yes,Credit card (automatic),0-12 Months,High,Q2,1143
2446-ZKVAF,Month-to-month,No,Credit card (automatic),13-24 Months,Medium,Q2,1144
0841-NULXI,Month-to-month,Yes,Electronic check,0-12 Months,Medium,Q1,1145
3522-CDKHF,Month-to-month,Yes,Bank transfer (automatic),25-48 Months,High,Q3,1146
1430-SFQSA,One year,No,Mailed check,25-48 Months,Medium,Q2,1147
0411-EZJZE,Month-to-month,Yes,Electronic check,0-12 Months,Medium,Q1,1148
7851-WZEKY,Month-to-month,Yes,Electronic check,0-12 Months,Premium,Q1,1149
8844-TONUD,Month-to-month,Yes,Mailed check,13-24 Months,Premium,Q2,1150
8807-ARQET,Month-to-month,Yes,Electronic check,25-48 Months,Medium,Q3,1151
8992-CEUEN,Month-to-month,No,Electronic check,0-12 Months,Low,Q1,1152
4320-QMLLA,Month-to-month,No,Mailed check,0-12 Months,Medium,Q1,1153
8777-PVYGU,One year,Yes,Mailed check,49-60 Months,Medium,Q3,1154
8292-ITGYJ,Two year,Yes,Bank transfer (automatic),25-48 Months,Low,Q2,1155
6870-ZWMNX,Two year,No,Credit card (automatic),61-72 Months,High,Q4,1156
0621-CXBKL,Two year,No,Mailed check,49-60 Months,Low,Q2,1157
5268-DSMNQ,One year,Yes,Credit card (automatic),61-72 Months,Premium,Q4,1158
5334-JLAXU,Month-to-month,Yes,Credit card (automatic),49-60 Months,Premium,Q4,1159
4086-YQSNZ,Month-to-month,Yes,Electronic check,0-12 Months,High,Q1,1160
6242-MBHPK,Month-to-month,Yes,Electronic check,13-24 Months,Premium,Q3,1161
5868-CZJDR,Month-to-month,Yes,Mailed check,0-12 Months,Low,Q1,1162
9359-UGBTK,One year,Yes,Bank transfer (automatic),61-72 Months,High,Q4,1163
0135-NMXAP,Month-to-month,Yes,Bank transfer (automatic),0-12 Months,High,Q2,1164
4782-OSFXZ,Two year,Yes,Bank transfer (automatic),61-72 Months,High,Q4,1165
6479-OAUSD,One year,No,Credit card (automatic),25-48 Months,Low,Q2,1166
7129-ACFOG,Month-to-month,Yes,Electronic check,0-12 Months,Medium,Q1,1167
4189-NAKJS,One year,Yes,Credit card (automatic),25-48 Months,Medium,Q2,1168
5562-BETPV,One year,No,Mailed check,0-12 Months,Low,Q1,1169
1282-IHQAC,One year,Yes,Credit card (automatic),61-72 Months,Medium,Q3,1170
